player,teammate,games_together,wins_together,losses_together,win_rate
tjdubya21,ski11acam,5,2,3,0.4
x0ffe,Boydardi,4,1,3,0.25
x0ffe,Goose,8,6,2,0.75
x0ffe,"Shuk""!",4,1,3,0.25
x0ffe,Siem,8,6,2,0.75
x0ffe,shack house,1,1,0,1.0
xMoNsTeRMaRiO,Boydardi,4,1,3,0.25
xMoNsTeRMaRiO,Faith,4,1,3,0.25
xMoNsTeRMaRiO,JCISK,3,3,0,1.0
xMoNsTeRMaRiO,Mateo,8,2,6,0.25
xMoNsTeRMaRiO,TSabin.,5,3,2,0.6
xMoNsTeRMaRiO,ko!,5,3,2,0.6
xMoNsTeRMaRiO,nIMBUSXNZ^^,4,1,3,0.25
xMoNsTeRMaRiO,shack house,3,3,0,1.0
xMoNsTeRMaRiO,sly,4,1,3,0.25
zoarnyrl,A Simple Femgirl,4,1,3,0.25
zoarnyrl,Bluegy,4,3,1,0.75
zoarnyrl,Boydardi,14,4,10,0.2857142857142857
zoarnyrl,CoolNerdGames,4,1,3,0.25
zoarnyrl,Faith,3,0,3,0.0
zoarnyrl,Firefi6ht_RL,4,3,1,0.75
zoarnyrl,Ryan,4,1,3,0.25
zoarnyrl,"Shuk""!",16,10,6,0.625
zoarnyrl,Siem,7,6,1,0.8571428571428571
zoarnyrl,Suduko,3,3,0,1.0
zoarnyrl,enzo,4,3,1,0.75
zoarnyrl,nIMBUSXNZ^^,7,1,6,0.14285714285714285
