player,teammate,wins_together
tjdubya21,TheRealDunion,6
tjdubya21,TweakingOut,6
tjdubya21,bro.ro711,3
tjdubya21,chewy_chungus69,4
tjdubya21,dray (learning controller,1
tjdubya21,enzo,7
tjdubya21,qFoal,11
x0ffe,Boydardi,1
x0ffe,"Shuk""!",1
xMoNsTeRMaRiO,Boydardi,1
xMoNsTeRMaRiO,JCISK,3
xMoNsTeRMaRiO,TSabin.,3
xMoNsTeRMaRiO,ko!,3
xMoNsTeRMaRiO,shack house,3
xMoNsTeRMaRiO,sly,1
zoarnyrl,A Simple Femgirl,1
zoarnyrl,Bluegy,3
zoarnyrl,Boydardi,4
zoarnyrl,CoolNerdGames,1
zoarnyrl,Firefi6ht_RL,3
zoarnyrl,Ryan,1
zoarnyrl,"Shuk""!",10
zoarnyrl,Siem,6
zoarnyrl,Suduko,3
zoarnyrl,enzo,3
zoarnyrl,nIMBUSXNZ^^,1
