Discord,Epic,TRN Link,League,Team,Active,Alias,Platform,platform_id,alt,alt_platform,alt_platform_id
Rico,veteran_rico,https://rocketleague.tracker.network/rocket-league/profile/epic/veteran_rico/overview,C,High Stakes,Y,Rico,steam,76561197961383433,,,
korndoguwu,korndoguwu,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199037016192/overview,C,FarmersOnly,Y,korndoguwu,steam,76561199037016192,,,
xXTonyBolognaXx,xXTonyBolognaXx,https://rocketleague.tracker.network/rocket-league/profile/epic/xXTonyBolognaXx/overview,C,High Stakes,Y,xXTonyBolognaXx,epic,630a497421614b7091d540462c5f9887,,,
Nik0#4444,NikLaws,https://rocketleague.tracker.network/rocket-league/profile/epic/NikLaws/overview,C,Team XV,Y,NikLaws,epic,fa9d2bf4350143ab9923d818e7bb5e46,,,
beckyboo,beckyboo_WL,https://rocketleague.tracker.network/rocket-league/profile/epic/beckyboo_WL/overview,B,The Cosmos,Y, beckyboo ,steam,76561198353727856,,,
Alpha_762,Alpha_762,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198419582889/overview,C,Team XV,Y,Alpha_762,steam,76561198419582889,,,
may.yor,MayorRL,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198880201452/overview,C,Funke Monke,Y,mayor,steam,76561198880201452,,,
Loupyleroux,Loupy-96,https://rocketleague.tracker.network/rocket-league/profile/epic/Loupy-96/overview,C,The Cosmos,Y,Loupy-96,epic,541f6636eb724709a28ee9330c433290,,,
Kyyrbes,Kyyrbes,https://rocketleague.tracker.network/rocket-league/profile/epic/Kyyrbes/overview,C,High Stakes,Y,Kyyrbes,steam,76561198032866852,,,
1valin1,1valin1,https://rocketleague.tracker.network/rocket-league/profile/epic/1valin1/overview,C,How Do You Like Your Eggs?,Y,1VALIN1,epic,3d15e88551e04dbbb26982839904d85c,,,
Speer,SpeerSavage,https://rocketleague.tracker.network/rocket-league/profile/epic/SpeerSavage/overview,C,FarmersOnly,Y,SpeerSavage,epic,673c8b3a33f74e259c44b115811197d6,,,
E-419,E-419,https://rocketleague.tracker.network/rocket-league/profile/epic/E-419/overview,C,How Do You Like Your Eggs?,N,E-419,epic,10e5ecdec7b9491eb210a1da760ffbba,,,
tavlorjo,tavlorj,https://rocketleague.tracker.network/rocket-league/profile/epic/tavlorj/overview,C,FarmersOnly,Y, tavlorjo,xbox,c93b62eef3010900,tavlorj,epic,33a1614c0e72496480d7742459e1a28d
FelixTheCat#2561,Felixxxxm,https://rocketleague.tracker.network/rocket-league/profile/epic/Felixxxxm/overview,C,Team XV,Y, Felixxxxm,epic,8f9bad4ed6ab4930a24279601a843341,,,
.Reubenhood ,Reuben-hood,https://rocketleague.tracker.network/rocket-league/profile/epic/Reuben-Hood/overview,C,FarmersOnly,Y,Reuben-hood,epic,522b1c0598f54fda854b98de805de6eb,,,
TSB_HeroBear,TSB_HeroBear,https://rocketleague.tracker.network/rocket-league/profile/epic/TSB_Herobear/overview,C,High Stakes,N, TSB_Herobear,epic,ef77267dc1634ecd98229d56406360b9,,,
jim tinananim,jim tinananim,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198330721147/overview,C,The Cosmos,Y,Jim Tinananim,steam,76561198330721147,,,
Robmavo,Robmavo,,C,How Do You Like Your Eggs?,Y,Robmavo,epic,30634dfdbff4450b95215d9b309ec37c,,,
Kiriko, Kiriko_,,A,Team XV,Y, Kiriko_,epic,e189c1486e6f42c880e32075b3d1a93b,,,
Bubba,bubba_k_,,C,High Stakes,Y,bubba_k_,xbox,d9e866f4fd010900,,,
Wavy,Wavy33,,B,The Cosmos,Y,Wavy,steam,76561199087335332,,,
rob,rob,,Coach,The Cosmos,Y,rob,steam,76561199054741424,,,
Ba7s,ba7s,,Coach,Funke Monke,Y,make a wish bass,steam,76561198807499766,,,
paco,wheresyurpaco,,Coach,High Stakes,Y,paco,steam,76561198391810608,,,
Jonk,junkyjonk,,Coach,Team XV,Y,Jonk,steam,76561198333782272,,,
Othos,Othos,,Coach,FarmersOnly,Y,Othos,steam,76561198239409890,,,
Beansmode,Beansmode-,,Coach,How Do You Like Your Eggs?,Y,Beansmode-,epic,953d564d0a004b61924a3a8046e5e6ba,,,
