player,opponent,games_against,wins_against,win_rate_against
TSabin.,Cimino,3,3,1.0
TSabin.,FBISSsosa,16,8,0.5
TSabin.,Faith,5,3,0.6
TSabin.,Goose,10,6,0.6
TSabin.,Maples,25,13,0.52
TSabin.,Mateo,22,11,0.5
TSabin.,MtnDru,3,3,1.0
TSabin.,Siem,5,3,0.6
TSabin.,nIMBUSXNZ^^,9,6,0.6666666666666666
TSabin.,shack house,5,3,0.6
TSabin.,sly,9,6,0.6666666666666666
TSabin.,xMoNsTeRMaRiO,8,6,0.75
TheRealDunion,AbSpectre,4,3,0.75
TheRealDunion,Alpha_762,5,2,0.4
TheRealDunion,Ay_Ant,5,3,0.6
TheRealDunion,Beanzs2K,8,2,0.25
TheRealDunion,Captain Wolfer,3,3,1.0
TheRealDunion,Deciding,7,3,0.42857142857142855
TheRealDunion,EricTheHispanic,9,5,0.5555555555555556
TheRealDunion,Firefi6ht_RL,12,9,0.75
TheRealDunion,FriendlyFennec,10,6,0.6
TheRealDunion,Memento Mori217,10,5,0.5
TheRealDunion,MerculesMilenial,3,3,1.0
TheRealDunion,NMTotra,14,9,0.6428571428571429
TheRealDunion,OGYeet_,3,3,1.0
TheRealDunion,Preet,8,4,0.5
TheRealDunion,RequitedZeus,5,3,0.6
TheRealDunion,Ryan,5,3,0.6
TheRealDunion,"Shuk""!",10,5,0.5
TheRealDunion,Slik,4,1,0.25
TheRealDunion,chewy_chungus69,7,1,0.14285714285714285
TheRealDunion,faBBenWh  y,7,3,0.42857142857142855
TheRealDunion,qFoal,3,0,0.0
TheRealDunion,tjdubya21,5,2,0.4
TheRyan.,Alpha_762,4,1,0.25
TheRyan.,Beanzs2K,4,1,0.25
TheRyan.,MerculesMilenial,3,3,1.0
TheRyan.,Recktals,3,0,0.0
TheRyan.,Ryan,4,3,0.75
TheRyan.,SpicyShinobi,4,1,0.25
TheRyan.,chewy_chungus69,6,3,0.5
TheRyan.,qFoal,4,3,0.75
TheRyan.,ski11acam,4,3,0.75
TheRyan.,tjdubya21,6,3,0.5
Trickter02,Ascended!,5,3,0.6
Trickter02,Bloom,5,2,0.4
Trickter02,Geo,3,3,1.0
Trickter02,Groovy,3,3,1.0
Trickter02,ItsDaaes,3,3,1.0
Trickter02,JCISK,10,5,0.5
Trickter02,Nem,3,3,1.0
Trickter02,SpicyShinobi,3,3,1.0
Trickter02,enzo,3,3,1.0
Trickter02,nIMBUSXNZ^^,5,3,0.6
Trickter02,shack house,5,2,0.4
TweakingOut,Ay_Ant,5,3,0.6
TweakingOut,Captain Wolfer,3,0,0.0
TweakingOut,Deciding,3,0,0.0
TweakingOut,FriendlyFennec,5,3,0.6
TweakingOut,Infantryboyz09,5,3,0.6
TweakingOut,Memento Mori217,8,3,0.375
TweakingOut,OGYeet_,8,3,0.375
TweakingOut,Recktals,3,0,0.0
TweakingOut,Slik,3,0,0.0
TweakingOut,chewy_chungus69,10,6,0.6
TweakingOut,qFoal,3,0,0.0
TweakingOut,ski11acam,8,3,0.375
TweakingOut,tjdubya21,8,3,0.375
Tylanz,A Simple Femgirl,9,6,0.6666666666666666
Tylanz,Boydardi,9,6,0.6666666666666666
Tylanz,Car-.-,9,3,0.3333333333333333
Tylanz,CoolNerdGames,5,3,0.6
Tylanz,FBISSsosa,5,2,0.4
Tylanz,Fastmadcow,8,6,0.75
Tylanz,ItsDaaes,13,8,0.6153846153846154
Tylanz,SCATHEW XD,4,3,0.75
Tylanz,nIMBUSXNZ^^,12,7,0.5833333333333334
Tylanz,shack house,4,1,0.25
Yoky,A Simple Femgirl,19,12,0.631578947368421
Yoky,AbSpectre,7,3,0.42857142857142855
Yoky,Ascended!,10,5,0.5
Yoky,Bloom,3,0,0.0
Yoky,Car-.-,5,2,0.4
Yoky,CoolNerdGames,17,12,0.7058823529411765
Yoky,EricTheHispanic,7,6,0.8571428571428571
Yoky,FBISSsosa,5,2,0.4
Yoky,Fastmadcow,5,3,0.6
Yoky,Firefi6ht_RL,20,11,0.55
Yoky,Groovy,3,0,0.0
Yoky,ItsDaaes,10,5,0.5
Yoky,Maples,8,2,0.25
Yoky,Mateo,5,2,0.4
Yoky,MtnDru,4,3,0.75
Yoky,Recktals,15,9,0.6
Yoky,"Shuk""!",11,5,0.45454545454545453
Yoky,Siem,7,1,0.14285714285714285
Yoky,SpicyShinobi,8,3,0.375
Yoky,Suduko,10,6,0.6
Yoky,bro.ro711,17,8,0.47058823529411764
Yoky,enjay,4,3,0.75
Yoky,enzo,30,15,0.5
Yoky,nIMBUSXNZ^^,8,3,0.375
Yoky,zoarnyrl,11,2,0.18181818181818182
Ziyor,AiRblock8,5,2,0.4
Ziyor,Bloom,3,0,0.0
Ziyor,Car-.-,3,0,0.0
Ziyor,CoolNerdGames,5,2,0.4
Ziyor,Faith,3,0,0.0
Ziyor,enzo,5,2,0.4
Ziyor,ko!,3,0,0.0
Ziyor,shack house,3,0,0.0
Ziyor,sly,3,0,0.0
bass!,Ascended!,1,1,1.0
bass!,Bloom,12,3,0.25
bass!,Car-.-,15,6,0.4
bass!,FBISSsosa,4,1,0.25
bass!,Faith,10,4,0.4
bass!,Goose,33,16,0.48484848484848486
bass!,JCISK,11,5,0.45454545454545453
bass!,Mateo,9,4,0.4444444444444444
bass!,Nem,7,6,0.8571428571428571
bass!,Siem,8,2,0.25
bass!,ko!,6,2,0.3333333333333333
bass!,nIMBUSXNZ^^,12,6,0.5
bass!,shack house,30,13,0.43333333333333335
bass!,sly,15,7,0.4666666666666667
bass!,x0ffe,8,2,0.25
bass!,xMoNsTeRMaRiO,3,0,0.0
bro.ro711,A Simple Femgirl,9,6,0.6666666666666666
bro.ro711,AbSpectre,3,0,0.0
bro.ro711,AiRblock8,5,2,0.4
bro.ro711,Alpha_762,7,4,0.5714285714285714
bro.ro711,Ay_Ant,3,0,0.0
bro.ro711,Captain Wolfer,5,3,0.6
bro.ro711,Chow_Mitch,9,5,0.5555555555555556
bro.ro711,CoolNerdGames,8,5,0.625
bro.ro711,Creig1013,4,3,0.75
bro.ro711,Firefi6ht_RL,20,9,0.45
bro.ro711,NMTotra,3,3,1.0
bro.ro711,No_Walt,5,3,0.6
bro.ro711,"Shuk""!",11,9,0.8181818181818182
bro.ro711,Slik,4,1,0.25
bro.ro711,SpicyShinobi,9,4,0.4444444444444444
bro.ro711,Suduko,14,12,0.8571428571428571
bro.ro711,Yoky,17,9,0.5294117647058824
bro.ro711,chewy_chungus69,6,3,0.5
bro.ro711,dray (learning controller,14,8,0.5714285714285714
bro.ro711,enzo,9,5,0.5555555555555556
bro.ro711,qFoal,11,9,0.8181818181818182
bro.ro711,tjdubya21,16,8,0.5
brokeboy,Ascended!,1,0,0.0
brokeboy,Bloom,3,3,1.0
brokeboy,Boydardi,6,2,0.3333333333333333
brokeboy,Car-.-,5,2,0.4
brokeboy,Creig1013,5,2,0.4
brokeboy,FBISSsosa,6,2,0.3333333333333333
brokeboy,Goose,10,3,0.3
brokeboy,Groovy,6,6,1.0
brokeboy,Maples,4,1,0.25
brokeboy,Nem,4,1,0.25
brokeboy,Recktals,5,2,0.4
brokeboy,SpicyShinobi,3,3,1.0
brokeboy,enzo,3,3,1.0
brokeboy,ko!,3,3,1.0
chewy_chungus69,Alpha_762,13,4,0.3076923076923077
chewy_chungus69,Ay_Ant,11,6,0.5454545454545454
chewy_chungus69,Captain Wolfer,16,6,0.375
chewy_chungus69,CoolNerdGames,3,0,0.0
chewy_chungus69,Deciding,21,10,0.47619047619047616
chewy_chungus69,Eclipsed Frog,8,5,0.625
chewy_chungus69,Firefi6ht_RL,27,8,0.2962962962962963
chewy_chungus69,FriendlyFennec,25,14,0.56
chewy_chungus69,Hedmarkers,12,9,0.75
chewy_chungus69,Infantryboyz09,3,3,1.0
