Discord,League,Ballchasing,TRN,Team,Traded,TradeDate,TradedTeam,Active,Alias,Platform,platform_id,alt,alt_platform,alt_platform_id
TSabin.,S,https://ballchasing.com/player/epic/e812fff012344150bb101d37c1540cf2,https://rocketleague.tracker.network/rocket-league/profile/epic/A%20Simple%20Femgirl/overview,Nightstalkers,N,,,Y,TSabin.,Epic,e812fff012344150bb101d37c1540cf2,,,
Faith,S,https://ballchasing.com/player/steam/76561198451159908,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198269377755/overview,Wraiths,N,,,Y,Faith,Steam,76561198451159908,,,
trickter02,A,https://ballchasing.com/player/steam/76561198354602962,https://rocketleague.tracker.network/rocket-league/profile/epic/abspectre/overview,MobyDicks,N,,,Y,trickter02,,,,,
Kyle.,S,https://ballchasing.com/player/steam/76561199032836806,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198419582889/overview,KingKong,N,,,Y,Kyle.,Steam,76561199032836806,,,
Bass,S,https://ballchasing.com/player/steam/76561198807499766,https://rocketleague.tracker.network/rocket-league/profile/epic/Ay_ant/overview,KingKong,N,,,Y,Bass,Steam,76561198807499766,,,
Maples,S,https://ballchasing.com/player/steam/76561198976624529,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198087852643/overview,MobyDicks,N,,,Y,Maples,Steam,76561198976624529,,,
JCISK,S,https://ballchasing.com/player/steam/76561198805564731,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198807499766/overview,Jormungandr,N,,,Y,JCISK,Steam,76561198805564731,,,
Nem,S,https://ballchasing.com/player/steam/76561198799938375,https://rocketleague.tracker.network/rocket-league/profile/epic/brokeboy.97/overview,Jormungandr,N,,,Y,Nem,Steam,76561198799938375,,,
kodoku!,S,https://ballchasing.com/player/steam/76561198308600186,https://rocketleague.tracker.network/rocket-league/profile/epic/%E3%83%83creig/overview,KingKong,N,,,Y,kodoku!,Steam,76561198308600186,,,
Goose,S,https://ballchasing.com/player/epic/f59ba2e6bbfa4a29a166d81e74f75933,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199008394120/overview,MobyDicks,N,,,Y,Goose,,f59ba2e6bbfa4a29a166d81e74f75933,,,
Bloom,S,https://ballchasing.com/player/steam/76561198978096634,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198978096634/overview,Wraiths,N,,,Y,Bloom,Steam,76561198978096634,,,
xMoNsTeRMaRiO,S,https://ballchasing.com/player/steam/76561198987470037,https://rocketleague.tracker.network/rocket-league/profile/epic/Beanzs2K/overview,Nessies,N,,,Y,xMoNsTeRMaRiO,Steam,76561198987470037,,,
Cimino,S,https://ballchasing.com/player/steam/76561198807370284,https://rocketleague.tracker.network/rocket-league/profile/epic/Boydardii/overview,Jormungandr,N,,,Y,Cimino,Steam,76561198807370284,,,
shack house,S,https://ballchasing.com/player/steam/76561198205869723,https://tracker.gg/rocket-league/profile/epic/Car-.-/overview,Nessies,N,,,Y,shack house,Steam,76561198205869723,,,
FuzzoL,A,https://ballchasing.com/player/steam/76561198365644672,https://rocketleague.tracker.network/rocket-league/profile/epic/bro.ro711/overview,Wraiths,N,,,Y,FuzzoL,Steam,76561198365644672,,,
DeltaJRomeo,S,https://ballchasing.com/?uploader=76561198978459139,https://rocketleague.tracker.network/rocket-league/profile/epic/chewy_chungus69/overview,MobyDicks,N,,,Y,DeltaJRomeo,Epic,da937e7f46a34218a2ac4b4042b43b92,,,
nIMBUSXNZ^^,A,https://ballchasing.com/player/steam/76561198955848516,https://rocketleague.tracker.network/rocket-league/profile/epic/Twitch%20xCimino/overview,,N,,,N,nIMBUSXNZ^^,,,,,
Enjay,A,https://ballchasing.com/player/steam/76561198139540668,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198139540668/overview,Nightstalkers,N,,,Y,Enjay,Steam,76561198139540668,,,
sly,S,https://ballchasing.com/player/steam/76561198099860502,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198102060602/overview,Wraiths,N,,,Y,sly,Steam,76561198099860502,,,
x0ffe,A,https://ballchasing.com/player/steam/76561198143052139,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198451159908/overview,Wraiths,N,,,Y,x0ffe,Steam,76561198143052139,,,
