Discord,League,Ballchasing,TRN,Team,Traded,TradeDate,TradedTeam,Active,Alias,Platform,platform_id,alt,alt_platform,alt_platform_id
TheRyan.,B,https://ballchasing.com/player/epic/c6d46be5eb8942a8aa2a64d0f891f46d,https://rocketleague.tracker.network/rocket-league/profile/epic/TheRyan./overview,King Koba,N,,,Y,TheRyan.,epic,c6d46be5eb8942a8aa2a64d0f891f46d,,,
AbSpectre,B,https://ballchasing.com/?player-name=AbSpectre,https://rocketleague.tracker.network/rocket-league/profile/epic/AbSpectre/overview,Tai Lung Leopards,N,,,Y,AbSpectre,epic,daceee6f910f4d6a863fc5a8dc3b18d8,,,
Rat.,B,https://ballchasing.com/player/steam/76561198871728906,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198871728906/overview,King Koba,Y,2024-11-11,Big Pharma,Y,Rat.,steam,76561198871728906,,,
ya_motha,B,https://ballchasing.com/player/steam/76561198269377755,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198269377755/overview,Big Pharma,Y,2024-11-11,King Koba,Y,ya_motha,steam,76561198269377755,,,
noot,B,https://ballchasing.com/player/steam/76561198088510960,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198088510960/overview,Galactic Empire,N,,,Y,noot,steam,76561198088510960,,,
Wavy,B,https://ballchasing.com/player/steam/76561199087335332,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199087335332/overview,Tai Lung Leopards,N,,,Y,Wavy,steam,76561199087335332,,,
Suduko,B,https://ballchasing.com/player/steam/76561198113256999,https://rocketleague.tracker.network/rocket-league/profile/epic/Suduko20/overview,Galactic Empire,N,,,Y,Suduko,steam,76561198113256999,,,
Bullypn,B,https://ballchasing.com/player/steam/76561198295599120,https://rocketleague.tracker.network/rocket-league/profile/epic/Typhol./overview,Bezos Bros,N,,,Y,Bullypn,steam,76561198295599120,,,
Quaza GS,B,https://discord.com/channels/@me/1286108059751420007/1286127990169665588,https://rocketleague.tracker.network/rocket-league/profile/epic/Egg%20Mcglizzerton/overview,Galactic Empire,N,,,Y,Quaza GS,epic,333f6cfde2344baa9bdd6d95c8b60b25,,,
SpicyShinobi,B,https://ballchasing.com/player/steam/76561198136200980,https://rocketleague.tracker.network/rocket-league/profile/epic/SpicyShinobi/overview,Ginyu Force,N,,,Y,SpicyShinobi,steam,76561198136200980,SpicyShinobi,epic,7a292b6e464b4f41b5ebfaf7639214f5
Nitrate tv,B,https://ballchasing.com/player/xbox/bf28490200000900,https://rocketleague.tracker.network/rocket-league/profile/epic/Nitrate_TTV/overview,Big Pharma,N,,,Y,Nitrate tv,xbox,bf28490200000900,,,
EricTheHispanic,B,https://ballchasing.com/player/steam/76561198836609884,https://rocketleague.tracker.network/rocket-league/profile/epic/EricTheHispanic/overview,Megaminds,N,,,Y,EricTheHispanic,steam,76561198836609884,EricTheHispanic,epic,87dc0df033734202bd8fcbb95926b672
Road_to_bronze,B,https://ballchasing.com/player/epic/170f14950a0a4531aeb69fba47f21270,https://rocketleague.tracker.network/rocket-league/profile/epic/Road_to_bronze_3/overview,Alternate,N,,,Y,Road_to_bronze,epic,170f14950a0a4531aeb69fba47f21270,,,
Pengy,B,https://ballchasing.com/player/steam/76561198998695909,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198998695909/overview,Galactic Empire,N,,,Y,Pengy,steam,76561198998695909,,,
J.,B,https://ballchasing.com/player/steam/76561198300482356,https://rocketleague.tracker.network/rocket-league/profile/epic/KVI_/overview,Ginyu Force,N,,,Y,J.,steam,76561198300482356,,,
MerculesTheMillenial,B,https://ballchasing.com/player/steam/76561198838756627,https://rocketleague.tracker.network/rocket-league/profile/epic/RL_Millenial/overview,Ginyu Force,N,,,Y,MerculesTheMillenial,steam,76561198838756627,MerculesMilenial,epic,d9d63c33bd434c8ebbad68c54db2cad7
ewoo,B,https://ballchasing.com/player/steam/76561199210724876,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198167790324/overview,King Koba,N,,,Y,ewoo,steam,76561199210724876,ewoo,steam,76561198167790324
tav,C,https://ballchasing.com/?player-name=tavlorj,https://rocketleague.tracker.network/rocket-league/profile/epic/tavlorj/overview,Megaminds,N,,,Y,tav,epic,33a1614c0e72496480d7742459e1a28d,,,
totra,B,https://ballchasing.com/player/steam/76561198075614723,https://rocketleague.tracker.network/rocket-league/profile/epic/nmtotra/overview,Bezos Bros,N,,,Y,totra,steam,76561198075614723,NMTotra,epic,5ac465fd20dc40ca991172c46cea8031
Firef6ht,B,https://ballchasing.com/player/epic/ebbb47803eee46db851a8e71e2f2de3c#overview,https://rocketleague.tracker.network/rocket-league/profile/epic/FIREF6HT/overview,Megaminds,N,,,Y,Firef6ht,epic,ebbb47803eee46db851a8e71e2f2de3c,,,
Hollow,C,https://ballchasing.com/player/steam/76561198268156585,https://rocketleague.tracker.network/rocket-league/profile/epic/joceeonpcc/overview,Vectors,N,,,Y,Hollow,steam,76561198268156585,Hollow,steam,76561198314871368
Shields,B,https://ballchasing.com/player/steam/76561199119501032,https://rocketleague.tracker.network/rocket-league/profile/epic/richmn1/overview,Tai Lung Leopards,N,,,Y,Shields,steam,76561199119501032,,,
IAmBrownBread,C,https://ballchasing.com/player/steam/76561198369617713,https://rocketleague.tracker.network/rocket-league/profile/epic/IAmBrownBread/overview,Megaminds,N,,,Y,IAmBrownBread,steam,76561198369617713,IAmBrownBread,epic,d66f8ac4634b48bca8359c7454685d89
ski11acam,B,https://ballchasing.com/player/steam/76561199160984733,https://rocketleague.tracker.network/rocket-league/profile/epic/ski11acam/overview,King Koba,Y,2024-11-11,Big Pharma,Y,ski11acam,steam,76561199160984733,ski11acam,epic,3b4c0dff54c943319cccb0c21fc5d9dd
chewy_chungus69,C,https://ballchasing.com/player/steam/76561199423539900,https://rocketleague.tracker.network/rocket-league/profile/epic/chewy_chungus69/overview,Tai Lung Leopards,N,,,Y,chewy_chungus69,steam,76561199423539900,Chewy_Chungus2.0,epic,0fbbcb5127c940f3a7cf5a337cb8ae74
Whity,B,Idk how to do that shit I dont even have steam,https://rocketleague.tracker.network/rocket-league/profile/epic/Whityyyyy/overview,Vectors,N,,,Y,Whity,psynet,cd70a09096d8e210,,,
Skinns,C,https://ballchasing.com/?player-name=mrskinns,https://rocketleague.tracker.network/rocket-league/profile/epic/MrSkinns/overview,Ginyu Force,N,,,Y,Skinns,epic,3b79efe252b94c25be4c1c9293f7f285,,,
Sol,C,https://ballchasing.com/player/steam/76561198023322523,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198023322523/overview,Bezos Bros,N,,,Y,Sol,steam,76561198023322523,,,
Foodbandlts,B,https://ballchasing.com/player/steam/76561198058239033,https://rocketleague.tracker.network/rocket-league/profile/steam/foodbandlts/overview,Big Pharma,N,,,Y,Foodbandlts,steam,76561198058239033,,,
qFoal,B,https://ballchasing.com/?uploader=76561199064776075,https://rocketleague.tracker.network/rocket-league/profile/epic/qFoal/overview,Vectors,N,,,Y,qFoal,steam,76561199064776075,qFoal,epic,77580cafd94f45f5860c152fdb3f132f
Beansz2k,C,https://ballchasing.com/player/steam/76561198225916892,https://rocketleague.tracker.network/rocket-league/profile/epic/6eanszs/overview,Big Pharma,N,,,Y,Beansz2k,steam,76561198225916892,6eanszs,epic,7fa3b5b7cbfe4050b784ffea0aa111ba
Loupy,C,https://ballchasing.com/player/epic/541f6636eb724709a28ee9330c433290,https://rocketleague.tracker.network/rocket-league/profile/epic/Loupy-96/overview,Ginyu Force,N,,,Y,Loupy,epic,541f6636eb724709a28ee9330c433290,,,
Kliqz_,C,https://ballchasing.com/player/steam/76561198274363441,https://rocketleague.tracker.network/rocket-league/profile/epic/Kliqz_/overview,King Koba,N,,,Y,Kliqz_,steam,76561198274363441,,,
Alpha_762,C,https://ballchasing.com/player/steam/76561198419582889,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198419582889/overview,Vectors,N,,,Y,Alpha_762,steam,76561198419582889,,,
FriendlyFennec,C,https://ballchasing.com/player/steam/76561198060066952,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198060066952/overview,Big Pharma,N,,,Y,FriendlyFennec,steam,76561198060066952,,,
Dead_Bunny_120,C,https://ballchasing.com/player/epic/788ed7c0caae406c9d745f77067433f9,https://rocketleague.tracker.network/rocket-league/profile/epic/dead_bunny_120/mmr?playlist=10,Alternate,N,,,Y,Dead_Bunny_120,epic,788ed7c0caae406c9d745f77067433f9,,,
Powerwolf147,C,https://ballchasing.com/player/epic/565071bea364495f8fe0d099bcc0bfc6,https://rocketleague.tracker.network/rocket-league/profile/epic/Powerwolf147/overview,Big Pharma,N,,,Y,Powerwolf147,epic,565071bea364495f8fe0d099bcc0bfc6,,,
