Discord,League,Ballchasing,TRN,Team,Traded,TradeDate,TradedTeam,Active,Alias,Platform,platform_id,alt,alt_platform,alt_platform_id
Zoarny,A,,,Avengers,N,,,Y,zoarny,steam,76561198322374540,,,
barlos,A,https://ballchasing.com/player/steam/76561198134937585,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198134937585/overview,IJLSA,N,,,Y,barlos,steam,76561198134937585,,,
Itsdaaes,A,https://ballchasing.com/player/steam/76561199098487154,https://rocketleague.tracker.network/rocket-league/profile/epic/ItsDaaes/overview,Demon Slayer Corp,N,,,Y,ItsDaaes,epic,0fdd769166124fe091a0cf740944b212,,,
Bloom,A,https://ballchasing.com/player/steam/76561198978096634,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198978096634/overview,Black Bulls,N,,,Y,Bloom,steam,76561198978096634,,,
Marz,A,https://ballchasing.com/player/steam/76561198302600525,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198302600525/overview,Powerpuff Girls,N,,,Y,Marz,steam,76561198302600525,,,
Nimbusxnz ,A,https://ballchasing.com/player/steam/76561198955848516,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198955848516/overview,Anbu Black Ops,N,,,Y,nIMBUSXNZ^^,steam,76561198955848516,,,
Car,A,https://ballchasing.com/player/steam/76561199030219229,https://rocketleague.tracker.network/rocket-league/profile/epic/Car-.-/overview,Anbu Black Ops,N,,,Y,Car.,steam,76561199030219229,,,
Siem,A,https://ballchasing.com/player/steam/76561198358477673,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198358477673/overview,Team Avatar,N,,,Y,,steam,76561198358477673,,,
Recktals,A,https://ballchasing.com/player/steam/76561198387057692,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198387057692/overview,Team Avatar,N,,,Y,Recktals,steam,76561198387057692,,,
Mulig,A,https://ballchasing.com/player/epic/da10b1a740954a4bb526f42eafff6362,https://rocketleague.tracker.network/rocket-league/profile/epic/Oh%20okay%20yeah/overview,Demon Slayer Corp,N,,,Y,0Lig0,steam,76561198958847580,,,
Trickter02,A,https://ballchasing.com/player/steam/76561198221863496,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198221863496/overview,Umbrella Academy,N,,,Y,Trickter02,steam,76561198221863496,,,
Groovy,A,https://ballchasing.com/player/steam/76561199043386482,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199043386482/overview,Avengers,N,,,Y,Groovy,steam,76561199043386482,,,
Geo,A,https://ballchasing.com/player/steam/76561198317445284,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198317445284/overview,Umbrella Academy,N,,,Y,Geo,steam,76561198317445284,,,
Aleuki,A,https://ballchasing.com/player/steam/76561198401106116,https://rocketleague.tracker.network/rocket-league/profile/epic/Aleuki_RL/overview,Black Bulls,N,,,Y,Aleuki!,steam,76561198401106116,,,
Tylanz,A,https://ballchasing.com/player/steam/76561198871589835,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198871589835/overview,Team Avatar,N,,,Y,Tylanz,steam,76561198871589835,,,
brokeboy,A,https://ballchasing.com/player/steam/76561198809815205,https://rocketleague.tracker.network/rocket-league/profile/epic/brokeboy.97/overview,Umbrella Academy,N,,,Y,brokeboy97,steam,76561198809815205,,,
tensa,A,https://ballchasing.com/player/steam/76561199051684474,https://rocketleague.tracker.network/rocket-league/profile/epic/tensa-./overview,Powerpuff Girls,N,,,Y,tensa,steam,76561199051684474,,,
GOLDM00N,A,https://ballchasing.com/player/steam/76561199040619193,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199040619193/overview,IJLSA,N,,,Y,GOLDM00N,steam,76561199040619193,,,
MtnDru,A,https://ballchasing.com/player/steam/76561198213500859,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198213500859/overview,Anbu Black Ops,N,,,Y,MtnDru,steam,76561198213500859,,,
Gachi.,A,https://ballchasing.com/player/steam/76561198993989103,https://rocketleague.tracker.network/rocket-league/profile/epic/Gachi./overview,Avengers,N,,,Y,Gachi.,epic,da471047663e40e58609d916a1c34079,,,
